City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Barao De Melgaco,BR,-16.1944,-55.9675,69.58,43,0,2.55,clear sky
212,Sorland,NO,67.667,12.6934,55.26,82,75,20.71,light rain
213,Rio Grande,BR,-32.035,-52.0986,58.95,99,99,6.49,overcast clouds
214,Narsaq,GL,60.9167,-46.05,50.22,68,97,3.02,overcast clouds
215,Waingapu,ID,-9.6567,120.2641,80.56,58,61,16.93,broken clouds
216,Antofagasta,CL,-23.65,-70.4,56.48,83,2,1.92,clear sky
217,Husavik,IS,66.0449,-17.3389,49.35,80,66,2.77,broken clouds
218,Minab,IR,27.1467,57.0801,99.45,51,19,17.22,few clouds
219,Lindi,TZ,-10.0,39.7167,84.94,42,0,7.56,clear sky
220,Quelimane,MZ,-17.8786,36.8883,69.75,88,40,2.3,scattered clouds
221,Tambovka,RU,50.0969,128.0489,83.77,46,45,7.49,scattered clouds
222,Erdenet,MN,49.0333,104.0833,69.1,44,2,3.56,clear sky
223,Kroonstad,ZA,-27.6504,27.2349,49.77,24,0,6.44,clear sky
224,Adrar,MR,20.5022,-10.0711,89.89,38,0,17.76,clear sky
225,Upernavik,GL,72.7868,-56.1549,38.97,94,100,8.63,overcast clouds
226,Nelson Bay,AU,-32.7167,152.15,61.0,92,64,5.99,broken clouds
227,Jumla,NP,29.2747,82.1838,71.55,73,78,4.56,broken clouds
228,Pisco,PE,-13.7,-76.2167,55.02,87,28,1.14,smoke
229,Carnarvon,AU,-24.8667,113.6333,70.21,29,0,8.57,clear sky
230,Yar-Sale,RU,66.8333,70.8333,57.42,59,100,11.45,overcast clouds
231,Basoko,CD,1.2391,23.616,80.64,72,85,1.1,overcast clouds
232,Walvis Bay,NA,-22.9575,14.5053,53.1,100,100,1.14,fog
233,Oster,UA,50.9506,30.8823,71.8,58,96,12.03,overcast clouds
234,Constitucion,CL,-35.3333,-72.4167,52.72,89,100,12.19,overcast clouds
235,Masuguru,TZ,-11.3667,38.4167,82.45,45,18,5.53,few clouds
236,Naze,JP,28.3667,129.4833,81.52,75,98,3.44,overcast clouds
237,Kavieng,PG,-2.5744,150.7967,82.94,75,7,8.81,light rain
238,Isangel,VU,-19.55,169.2667,77.38,84,79,3.13,broken clouds
239,Rawson,AR,-43.3002,-65.1023,40.98,78,100,8.3,overcast clouds
240,Skelleftea,SE,64.7507,20.9528,64.76,77,0,4.61,clear sky
241,Riverton,US,40.5219,-111.9391,76.24,60,0,5.99,clear sky
242,Kologriv,RU,58.8275,44.3178,82.42,40,17,4.43,few clouds
243,Noumea,NC,-22.2763,166.4572,67.98,80,62,6.55,broken clouds
244,Yeppoon,AU,-23.1333,150.7333,67.78,85,3,6.22,clear sky
245,Benguela,AO,-12.5763,13.4055,71.49,80,15,3.36,few clouds
246,Mar Del Plata,AR,-38.0023,-57.5575,50.09,95,100,11.5,overcast clouds
247,Novoagansk,RU,61.9449,76.6625,71.53,44,22,12.68,few clouds
248,Pingliang,CN,35.5392,106.6861,90.95,37,0,13.47,clear sky
249,Oyem,GA,1.5995,11.5793,69.75,93,97,3.36,overcast clouds
250,Esso,RU,55.9333,158.7,58.23,80,100,3.4,overcast clouds
251,New Norfolk,AU,-42.7826,147.0587,54.91,84,100,3.33,overcast clouds
252,Ambad,IN,19.6167,75.8,83.17,60,100,12.12,overcast clouds
253,Ust-Tsilma,RU,65.441,52.1498,62.8,43,86,10.47,overcast clouds
254,Zwedru,LR,6.0667,-8.1281,69.96,88,79,0.96,broken clouds
255,Akyab,MM,20.15,92.9,84.09,72,96,6.15,overcast clouds
256,Iqaluit,CA,63.7506,-68.5145,40.73,93,20,4.61,few clouds
257,Le Vauclin,MQ,14.5452,-60.8388,79.84,94,75,6.91,broken clouds
258,Mubi,NG,10.2676,13.2644,79.23,72,100,5.82,overcast clouds
259,Acajutla,SV,13.5928,-89.8275,76.48,84,93,5.97,overcast clouds
260,Nerchinskiy Zavod,RU,51.3088,119.61,76.96,60,99,4.07,overcast clouds
261,Mersing,MY,2.4312,103.8405,89.51,62,40,8.05,scattered clouds
262,Nalgonda,IN,17.05,79.2667,85.57,60,100,10.74,overcast clouds
263,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,87,48,3.65,scattered clouds
264,Faya,SA,18.3851,42.4509,75.31,57,96,6.02,overcast clouds
265,Beyneu,KZ,45.3167,55.2,82.9,39,91,2.91,overcast clouds
